Частота,"Сигнал 0","Сигнал 0 + шум","Сигнал 1","Сигнал 1 + шум","Сигнал 2","Сигнал 2 + шум"
33,7.9897390348997E-17,0.0020229596805471,7.8514599652992E-16,0.0041826935696531,1.0134194083107E-15,0.0060731433376182
34,3.2295327285781E-17,0.0023627115101797,4.9219413460928E-16,0.0027753311853153,4.8824007740732E-16,0.0017594314609634
35,1.9618408205345E-17,0.0033487109426423,1.0547695827016E-15,0.0023950979633301,1.7574095778428E-15,0.0056215466018982
36,5.3324824153626E-17,0.00094193297076074,1.1206850622416E-15,0.0018858087645496,2.0224555682723E-15,0.004023523769896
37,1.1451907803541E-17,0.0026362764494406,5.6283162379965E-16,0.0013491305200446,1.187195593597E-15,0.0029632946183711
38,8.3500076149829E-17,0.0012156202912671,2.7090021397404E-16,0.0029800397178232,3.9346030728766E-16,0.00096791836602769
39,2.5502020724069E-17,0.0020938960404954,3.0600285626484E-17,0.0012647283393917,8.7962235273982E-17,0.0038999703230025
40,6.225387936276E-17,0.0018054873411945,6.1072352815962E-16,0.0014255215440966,7.9401728080449E-16,0.003726020065377
41,2.2421361269795E-17,0.0013663575635083,2.0640028007212E-16,0.0046208224584102,9.0696894439191E-17,0.00071125478539144
42,5.701384559696E-18,0.0020650298704692,5.1958740948035E-16,0.0043121638403001,6.3167880350616E-16,0.0046310385093087
43,5.4206858287866E-17,0.0022129802403179,6.0312773335564E-16,0.0058799220500107,4.2622267579481E-16,0.0044874940729622
44,1.401954778191E-16,0.0026520837696137,8.6443080592317E-16,0.0011355589333046,1.2874764773814E-15,0.0037353414339828
45,6.5664419557949E-17,0.0018687601401505,7.0125247630508E-16,0.0051439164900861,4.528737706621E-16,0.0024074477757726
46,1.7890780486418E-17,0.0013866334806123,8.2401565457061E-16,0.0015589012547051,6.4528214514338E-16,0.0018226538157777
47,8.3185434894344E-17,0.00086873333419613,4.3506979121466E-16,0.002006507336132,7.5004491585498E-16,0.0024042418702083
48,1.0400181519219E-16,0.00063687503491678,1.623812950681E-16,0.0043131021336941,1.3082515672972E-16,0.00076669979001147
49,8.5101988728598E-17,0.0011505927999389,1.1921916241107E-16,0.0019822233279391,2.8393742815312E-16,0.0025268071028119
50,1.9153413961142E-17,0.0030640575336903,8.1058292095344E-17,0.0012713555984756,9.1932657307738E-17,0.0023543968262137
51,5.0429612932723E-17,0.0041187325807531,1.035370756213E-16,0.0027790855883405,1.3351210115351E-16,0.0015153997674002
52,1.8703196261976E-16,0.001365137248814,7.2854231828293E-16,0.0011449869512451,5.459015997252E-16,0.00034897125629843
53,1.2930072415326E-16,0.0028359693342271,7.5162066186601E-16,0.0033291702907559,4.6950942491819E-16,0.0028959735445469
54,9.8435976969608E-17,0.0012029398720891,5.3546194110879E-16,0.0037456237824353,6.4931862285332E-16,0.00255427092828
55,4.2768352616929E-17,0.0035818367986941,6.6373369032817E-16,0.0015173107681111,8.0116936093863E-16,0.0034495783393397
56,7.8760608965349E-17,0.0025468778066242,5.4303497840893E-16,0.0010900242970846,6.4806612841078E-16,0.0046639316800039
57,8.8518304593141E-17,0.0055006404498916,6.5878926968641E-16,0.0035034084134712,6.4917277289265E-16,0.0020676817792505
58,3.7862143835661E-17,0.0014671083972472,6.0346867895258E-16,0.0038097122721504,6.0889009860961E-16,0.0025559497362307
59,7.771838953948E-17,0.003253711684005,9.508804687577E-16,0.001618543382547,8.5639371724989E-16,0.0024894976812182
60,2.2816787200444E-16,0.0019298287360681,1.024516150799E-15,0.003208022695942,1.2561309398238E-15,0.0038937110310207
61,1.2633593820238E-16,0.0044606906650506,4.71332842031E-16,0.0018416380323838,4.9769482700549E-16,0.0013557877108698
62,2.4682707579262E-16,0.0024691552581823,6.2145396177719E-16,0.0044912371702956,9.1450575104297E-16,0.004399594446929
63,7.9583871723336E-17,0.002910050886286,6.9130760361564E-16,0.0015211657377348,5.8470037592325E-16,0.0041074234309605
64,3.61532309989E-17,0.0023630918854548,9.7941785430432E-16,0.0021753844063377,9.6588853242255E-16,0.0048807774349953
65,1.6776995946325E-16,0.00054429669270782,2.7469190273982E-16,0.0045948557180425,4.9546517621738E-16,0.0021344436155024
66,3.5704567066286E-17,0.0048313141158477,6.2772743263006E-16,0.0023838561720061,6.2314836793862E-16,0.004654110384426
67,1.5389732147821E-16,0.0038770181375191,4.2463768955905E-16,0.0024136759142202,7.5219170167517E-16,0.0034289297012812
